date,state,pledges
12/8/11,Johor,8
12/9/11,Johor,0
12/10/11,Johor,12
12/11/11,Johor,21
12/12/11,Johor,9
12/13/11,Johor,5
12/14/11,Johor,17
12/15/11,Johor,9
12/16/11,Johor,4
12/17/11,Johor,5
12/18/11,Johor,4
12/19/11,Johor,5
12/20/11,Johor,44
12/21/11,Johor,4
12/22/11,Johor,1
12/23/11,Johor,1
12/24/11,Johor,18
12/25/11,Johor,21
12/26/11,Johor,5
12/27/11,Johor,4
12/28/11,Johor,3
12/29/11,Johor,1
12/30/11,Johor,0
12/31/11,Johor,1
1/1/12,Johor,4
1/2/12,Johor,0
1/3/12,Johor,4
1/4/12,Johor,6
1/5/12,Johor,3
1/6/12,Johor,3
1/7/12,Johor,15
1/8/12,Johor,28
1/9/12,Johor,2
1/10/12,Johor,4
1/11/12,Johor,8
1/12/12,Johor,2
1/13/12,Johor,1
1/14/12,Johor,19
1/15/12,Johor,22
1/16/12,Johor,7
1/17/12,Johor,0
1/18/12,Johor,3
1/19/12,Johor,8
1/20/12,Johor,2
1/21/12,Johor,8
1/22/12,Johor,15
1/23/12,Johor,8
1/24/12,Johor,5
1/25/12,Johor,22
1/26/12,Johor,1
1/27/12,Johor,2
1/28/12,Johor,51
1/29/12,Johor,2
1/30/12,Johor,2
1/31/12,Johor,4
2/1/12,Johor,20
2/2/12,Johor,9
2/3/12,Johor,1
2/4/12,Johor,1
2/5/12,Johor,9
2/6/12,Johor,23
2/7/12,Johor,38
2/8/12,Johor,1
2/9/12,Johor,46
2/10/12,Johor,1
2/11/12,Johor,15
2/12/12,Johor,6
2/13/12,Johor,6
2/14/12,Johor,18
2/15/12,Johor,19
2/16/12,Johor,6
2/17/12,Johor,1
2/18/12,Johor,24
2/19/12,Johor,6
2/20/12,Johor,5
2/21/12,Johor,3
2/22/12,Johor,88
2/23/12,Johor,17
2/24/12,Johor,4
2/25/12,Johor,8
2/26/12,Johor,36
2/27/12,Johor,4
2/28/12,Johor,20
2/29/12,Johor,25
3/1/12,Johor,9
3/2/12,Johor,3
3/3/12,Johor,23
3/4/12,Johor,24
3/5/12,Johor,2
3/6/12,Johor,8
3/7/12,Johor,9
3/8/12,Johor,68
3/9/12,Johor,5
3/10/12,Johor,7
3/11/12,Johor,23
3/12/12,Johor,4
3/13/12,Johor,4
3/14/12,Johor,3
3/15/12,Johor,7
3/16/12,Johor,2
3/17/12,Johor,10
3/18/12,Johor,20
3/19/12,Johor,6
3/20/12,Johor,37
3/21/12,Johor,34
